"","x"
"1304",-71
"1305",-66
"1306",-61
"1307",-68
"1308",-76
"1309",-76
"1310",-81
"1311",-81
"1312",-71
"1313",-76
"1314",-78
"1315",-68
"1316",-83
"1317",-178
"1318",-227
"1319",-27
"1320",618
"1321",1150
"1322",825
"1323",276
"1324",73
"1325",17
"1326",-49
"1327",-93
"1328",-100
"1329",-115
"1330",-112
"1331",-110
"1332",-100
"1333",-95
"1334",-98
"1335",-93
"1336",-90
"1337",-95
"1338",-95
"1339",-100
"1340",-98
"1341",-95
"1342",-93
"1343",-93
"1344",-90
"1345",-83
"1346",-81
"1347",-85
"1348",-83
"1349",-78
"1350",-78
"1351",-76
"1352",-68
"1353",-66
"1354",-56
"1355",-39
"1356",-20
"1357",-20
"1358",-5
"1359",12
"1360",17
"1361",27
"1362",29
"1363",10
"1364",-7
"1365",-17
"1366",-34
"1367",-44
"1368",-51
"1369",-49
"1370",-54
"1371",-56
"1372",-51
"1373",-51
"1374",-61
"1375",-56
"1376",-54
"1377",-59
"1378",-49
"1379",-49
"1380",-54
"1381",-54
"1382",-54
"1383",-54
"1384",-49
"1385",-49
"1386",-46
"1387",-42
"1388",-39
"1389",-39
"1390",-34
"1391",-37
"1392",-44
"1393",-44
"1394",-49
"1395",-44
"1396",-44
"1397",-39
"1398",-39
"1399",-46
"1400",-42
"1401",-42
"1402",-44
"1403",-42
"1404",-46
"1405",-44
"1406",-44
"1407",-51
"1408",-49
"1409",-49
"1410",-49
"1411",-46
"1412",-46
"1413",-54
"1414",-54
"1415",-49
"1416",-51
"1417",-49
"1418",-46
"1419",-42
"1420",-39
"1421",-42
"1422",-37
"1423",-27
"1424",-24
"1425",-27
"1426",-22
"1427",-24
"1428",-29
"1429",-34
"1430",-32
"1431",-17
"1432",-12
"1433",-5
"1434",0
"1435",2
"1436",0
"1437",-2
"1438",-5
"1439",-5
"1440",-5
"1441",-2
"1442",-5
"1443",-2
"1444",-5
"1445",0
"1446",-51
"1447",-156
"1448",-127
"1449",283
"1450",1018
"1451",1155
"1452",618
"1453",208
"1454",73
"1455",24
"1456",-42
"1457",-61
"1458",-73
"1459",-76
"1460",-71
"1461",-66
"1462",-68
"1463",-66
"1464",-66
"1465",-66
"1466",-61
"1467",-61
"1468",-63
"1469",-61
"1470",-66
"1471",-71
"1472",-73
"1473",-68
"1474",-61
"1475",-61
"1476",-63
"1477",-61
"1478",-61
"1479",-59
"1480",-56
"1481",-49
"1482",-49
"1483",-39
"1484",-24
"1485",-10
"1486",5
"1487",17
"1488",37
"1489",56
"1490",71
"1491",78
"1492",63
"1493",44
"1494",24
"1495",5
"1496",-10
"1497",-22
"1498",-29
"1499",-34
"1500",-37
"1501",-39
"1502",-39
"1503",-44
"1504",-51
"1505",-54
"1506",-61
"1507",-59
"1508",-56
"1509",-54
"1510",-49
"1511",-54
"1512",-49
"1513",-49
"1514",-54
"1515",-51
"1516",-56
"1517",-59
"1518",-59
"1519",-66
"1520",-61
"1521",-66
"1522",-68
"1523",-71
"1524",-73
"1525",-76
"1526",-71
"1527",-66
"1528",-66
"1529",-71
"1530",-68
"1531",-71
"1532",-71
"1533",-71
