"Time","ec"
1437721209958,-24
1437721209966,-29
1437721209974,-39
1437721209982,-44
1437721209990,-37
1437721209998,-39
1437721210005,-39
1437721210013,-42
1437721210021,-46
1437721210029,-46
1437721210037,-44
1437721210045,-39
1437721210053,-34
1437721210060,-34
1437721210068,-37
1437721210076,-24
1437721210084,-20
1437721210092,-20
1437721210100,-24
1437721210108,-24
1437721210116,-27
1437721210123,-34
1437721210131,-27
1437721210139,-42
1437721210147,-46
1437721210155,-49
1437721210163,-49
1437721210171,-46
1437721210179,-54
1437721210186,-49
1437721210194,-56
1437721210202,-46
1437721210210,-42
1437721210218,-44
1437721210226,-46
1437721210234,-49
1437721210242,-54
1437721210250,-56
1437721210257,-44
1437721210265,-59
1437721210273,-71
1437721210281,-61
1437721210289,-71
1437721210297,-71
1437721210305,-71
1437721210313,-61
1437721210320,-59
1437721210328,-71
1437721210336,-76
1437721210344,-81
1437721210352,-68
1437721210360,-61
1437721210368,-63
1437721210376,-56
1437721210383,-54
1437721210391,-61
1437721210399,-146
1437721210407,-215
1437721210415,-66
1437721210423,454
1437721210431,923
1437721210439,691
1437721210447,264
1437721210454,81
1437721210462,12
1437721210470,-17
1437721210478,-59
1437721210486,-76
1437721210494,-88
1437721210502,-76
1437721210510,-73
1437721210517,-51
1437721210525,-49
1437721210533,-56
1437721210541,-61
1437721210549,-68
1437721210557,-56
1437721210565,-44
1437721210573,-32
1437721210580,-32
1437721210588,-24
1437721210596,-7
1437721210604,-7
1437721210612,-12
1437721210620,-12
1437721210628,-2
1437721210636,-5
1437721210644,-2
1437721210651,-7
1437721210659,0
1437721210667,5
1437721210675,22
1437721210683,42
1437721210691,46
1437721210699,39
1437721210707,34
1437721210714,39
1437721210722,37
1437721210730,24
1437721210738,27
1437721210746,15
1437721210754,7
1437721210762,5
1437721210770,-7
1437721210777,-5
1437721210785,-2
1437721210793,-2
1437721210801,-10
1437721210809,-12
1437721210817,-5
1437721210825,-7
1437721210833,0
1437721210841,5
1437721210848,-2
1437721210856,-5
1437721210864,-2
1437721210872,-7
1437721210880,-7
1437721210888,-7
1437721210896,-10
1437721210904,-15
1437721210911,-20
1437721210919,-10
1437721210927,-10
1437721210935,-7
1437721210943,-12
1437721210951,-12
1437721210959,-15
1437721210967,-15
1437721210974,-12
1437721210982,-20
1437721210990,-22
1437721210998,-20
1437721211006,-7
1437721211014,-12
1437721211022,-12
1437721211030,-12
1437721211038,-12
1437721211046,-12
1437721211053,-12
1437721211061,-12
1437721211069,-15
1437721211077,-27
1437721211085,-27
1437721211093,-12
1437721211101,-2
1437721211109,5
1437721211116,2
1437721211124,-2
1437721211132,-7
1437721211140,-10
1437721211148,-17
1437721211156,-17
1437721211164,-7
1437721211172,-7
1437721211179,-15
1437721211187,-10
1437721211195,-51
1437721211203,-154
1437721211211,-125
1437721211219,259
1437721211227,903
1437721211235,999
1437721211243,518
1437721211250,200
1437721211258,71
1437721211266,2
1437721211274,-54
1437721211282,-81
1437721211290,-83
1437721211298,-78
1437721211306,-78
1437721211313,-71
1437721211321,-68
1437721211329,-68
1437721211337,-56
1437721211345,-71
1437721211353,-71
1437721211361,-61
1437721211369,-66
1437721211376,-71
1437721211384,-54
1437721211392,-49
1437721211400,-66
